q_m	xn_p,	xn_he3,	xn_he4,	xn_c12,	xn_n14,	xn_o16,	xn_o18,	xn_ne20,	xn_ne22,	xn_mg24,	xn_si28,	xn_ni56,	density,	T,
0.06256426397533191	3.441142206854179e-15	0.0	9.630668975956743e-11	2.6012507524848743e-09	5.029656803033594e-16	2.4459721841892618e-09	0.0	2.0577717027927292e-10	3.874464876832533e-18	2.790137379661847e-11	1.0816561259557665e-11	1.8350470210935166e-11	4.316058185725531e-05	0.9999568340117636
0.06358981091138038	3.3477774569614804e-15	0.0	1.0446364284473418e-10	2.6624711932049505e-09	4.3804963385908354e-16	2.5195202955021182e-09	0.0	1.8955982201769717e-10	3.39871284307112e-18	2.5694128326160833e-11	9.784009056025301e-12	1.6295706072314285e-11	4.982813474055175e-05	0.9999501663374669
0.06461551770222136	2.9165342586218976e-15	0.0	1.0881060923052736e-10	2.7123019762078947e-09	4.016687121443309e-16	2.5751613009737326e-09	0.0	1.813553854612147e-10	3.1063575073751614e-18	2.4138373179193847e-11	8.946066289045642e-12	1.4578946309303742e-11	5.817823818987191e-05	0.9999418161365141
0.06564122152410722	2.763088468382911e-15	0.0	1.1342097538067417e-10	2.7646567825582653e-09	3.560796561103984e-16	2.6360278438642743e-09	0.0	1.7003594176400505e-10	2.767730515513406e-18	2.2385943046328076e-11	8.136990607087114e-12	1.3154290473090927e-11	6.485792111178039e-05	0.9999351363510663
0.06666678768023344	2.7221643754569903e-15	0.0	1.1561905276116884e-10	2.8072742681612045e-09	3.205522100732058e-16	2.6841984246682177e-09	0.0	1.622026284600608e-10	2.490624155003426e-18	2.082246169236278e-11	7.362397840372628e-12	1.192368848769866e-11	7.358882469175171e-05	0.9999264053659023
0.06769250853454586	2.569102614314946e-15	0.0	1.1791940009382354e-10	2.834681365693898e-09	2.987629084283678e-16	2.7167484765585084e-09	0.0	1.5538326801656079e-10	2.3336040149137648e-18	1.9809103458538955e-11	6.960878203639333e-12	1.1184356378235666e-11	8.145765823997021e-05	0.9999185364790704
0.06871809844231284	2.322581084737295e-15	0.0	1.2032145551273118e-10	2.8660521654164173e-09	2.6956764326495013e-16	2.7542652884867725e-09	0.0	1.47012894423801e-10	2.106215795051716e-18	1.848217438964133e-11	6.335652959666723e-12	1.0135789914472012e-11	8.848777533779315e-05	0.9999115063020542
0.06974370178850817	2.107069981357794e-15	0.0	1.2406604473767226e-10	2.9089166461790824e-09	2.440510005851086e-16	2.803866202551249e-09	0.0	1.3793407012499696e-10	1.912337679541705e-18	1.710888263396319e-11	5.770607445970024e-12	9.220738931153446e-12	0.0001000068827089207	0.9998999871104056
0.07076933224595128	1.917806515318829e-15	0.0	1.260322395167842e-10	2.935496792182032e-09	2.3065876127006484e-16	2.8354677383691623e-09	0.0	1.3133252525936887e-10	1.812487141714717e-18	1.6128707124434983e-11	5.452354460387337e-12	8.527051041669822e-12	0.00010657836302297732	0.9998934155785374
0.07179504700609271	1.7441123289059056e-15	0.0	1.2977196334635328e-10	2.9644127901731813e-09	2.0602241124633678e-16	2.869821737736175e-09	0.0	1.241389283876856e-10	1.6326680513162605e-18	1.545603060476298e-11	5.078035037917154e-12	7.81718089546831e-12	0.00011742460803996398	0.9998825692754614
